Freq.	V(out)
3.63078054770101e+000	(-2.77741405676004e-004dB,-6.45711730686148e-001°)
3.71535229097172e+000	(-2.90738762963458e-004dB,-6.60751956481556e-001°)
3.80189396320560e+000	(-3.04345576148922e-004dB,-6.76142497455482e-001°)
3.89045144994280e+000	(-3.18595153404799e-004dB,-6.91891507309138e-001°)
3.98107170553496e+000	(-3.33518102704727e-004dB,-7.08007320430401e-001°)
4.07380277804112e+000	(-3.49139091373706e-004dB,-7.24498498340973e-001°)
4.16869383470335e+000	(-3.65503127283470e-004dB,-7.41373768557440e-001°)
4.26579518801592e+000	(-3.82634856289739e-004dB,-7.58642087995777e-001°)
4.36515832240165e+000	(-4.00572892996633e-004dB,-7.76312599197309e-001°)
4.46683592150962e+000	(-4.19359501103475e-004dB,-7.94394662939640e-001°)
4.57088189614874e+000	(-4.39029269264306e-004dB,-8.12897880629469e-001°)
4.67735141287197e+000	(-4.59626246935079e-004dB,-8.31832045897539e-001°)
4.78630092322637e+000	(-4.81191518610282e-004dB,-8.51207203596683e-001°)
4.89778819368445e+000	(-5.03776269563059e-004dB,-8.71033607795530e-001°)
5.01187233627271e+000	(-5.27423269972075e-004dB,-8.91321780119759e-001°)
5.12861383991364e+000	(-5.52185993441415e-004dB,-9.12082468389434e-001°)
5.24807460249771e+000	(-5.78116249419178e-004dB,-9.33326662192233e-001°)
5.37031796370252e+000	(-6.05268924014059e-004dB,-9.55065636853446e-001°)
5.49540873857623e+000	(-6.33699835408944e-004dB,-9.77310913316333e-001°)
5.62341325190348e+000	(-6.63470566475395e-004dB,-1.00007425882858e+000°)
5.75439937337156e+000	(-6.94645001343370e-004dB,-1.02336776012504e+000°)
5.88843655355588e+000	(-7.27288272741541e-004dB,-1.04720374341039e+000°)
6.02559586074356e+000	(-7.61467297901693e-004dB,-1.07159485464913e+000°)
6.16595001861481e+000	(-7.97259778195339e-004dB,-1.09655399750163e+000°)
6.30957344480192e+000	(-8.34736499119716e-004dB,-1.12209441142378e+000°)
6.45654229034654e+000	(-8.73983454641668e-004dB,-1.14822961128812e+000°)
6.60693448007594e+000	(-9.15078051909917e-004dB,-1.17497346131556e+000°)
6.76082975391980e+000	(-9.58108160796273e-004dB,-1.20234012107582e+000°)
6.91830970918935e+000	(-1.00316656164679e-003dB,-1.23034409512711e+000°)
7.07945784384136e+000	(-1.05034761311959e-003dB,-1.25900021283458e+000°)
7.24435960074988e+000	(-1.09975182144817e-003dB,-1.28832366269148e+000°)
7.41310241300916e+000	(-1.15148356958041e-003dB,-1.31832994897936e+000°)
7.58577575029182e+000	(-1.20565540516778e-003dB,-1.34903499622004e+000°)
7.76247116628690e+000	(-1.26237883829215e-003dB,-1.38045505141856e+000°)
7.94328234724279e+000	(-1.32177577845813e-003dB,-1.41260675630403e+000°)
8.12830516164097e+000	(-1.38396992759715e-003dB,-1.44550715646024e+000°)
8.31763771102669e+000	(-1.44909764530698e-003dB,-1.47917364019979e+000°)
8.51138038202374e+000	(-1.51729180784656e-003dB,-1.51362405652891e+000°)
8.70963589956078e+000	(-1.58869973736569e-003dB,-1.54887664531361e+000°)
8.91250938133743e+000	(-1.66347236630554e-003dB,-1.58495007610903e+000°)
9.12010839355907e+000	(-1.74176879387670e-003dB,-1.62186342623585e+000°)
9.33254300796988e+000	(-1.82375177098060e-003dB,-1.65963626406040e+000°)
9.54992586021433e+000	(-1.90960107614622e-003dB,-1.69828856217281e+000°)
9.77237220955808e+000	(-1.99949473743766e-003dB,-1.73784078807230e+000°)
9.99999999999997e+000	(-2.09362254834940e-003dB,-1.77831388754553e+000°)
1.02329299228075e+001	(-2.19218549430592e-003dB,-1.81972924882223e+000°)
1.04712854805090e+001	(-2.29539397880860e-003dB,-1.86210880669100e+000°)
1.07151930523760e+001	(-2.40346365668014e-003dB,-1.90547499925602e+000°)
1.09647819614318e+001	(-2.51662533037664e-003dB,-1.94985074446676e+000°)
1.12201845430196e+001	(-2.63511955745853e-003dB,-1.99525953032940e+000°)
1.14815362149688e+001	(-2.75919588656839e-003dB,-2.04172537928209e+000°)
1.17489755493953e+001	(-2.88911841344557e-003dB,-2.08927285753026e+000°)
1.20226443461741e+001	(-3.02516050964762e-003dB,-2.13792711202790e+000°)
1.23026877081238e+001	(-3.16761289363257e-003dB,-2.18771386400042e+000°)
1.25892541179416e+001	(-3.31677616863558e-003dB,-2.23865945559166e+000°)
1.28824955169313e+001	(-3.47296544840238e-003dB,-2.29079080940066e+000°)
1.31825673855640e+001	(-3.63651447503657e-003dB,-2.34413546827949e+000°)
1.34896288259165e+001	(-3.80776704443000e-003dB,-2.39872162856707e+000°)
1.38038426460288e+001	(-3.98708724548993e-003dB,-2.45457814839794e+000°)
1.41253754462275e+001	(-4.17485417483647e-003dB,-2.51173452198622e+000°)
1.44543977074592e+001	(-4.37146664293278e-003dB,-2.57022094363619e+000°)
1.47910838816820e+001	(-4.57733966273712e-003dB,-2.63006829948108e+000°)
1.51356124843620e+001	(-4.79290964951676e-003dB,-2.69130820870481e+000°)
1.54881661891248e+001	(-5.01863570120112e-003dB,-2.75397296370423e+000°)
1.58489319246111e+001	(-5.25499044081229e-003dB,-2.81809568091017e+000°)
1.62181009735892e+001	(-5.50247912513893e-003dB,-2.88371017016113e+000°)
1.65958690743755e+001	(-5.76162328728202e-003dB,-2.95085107372985e+000°)
1.69824365246174e+001	(-6.03297260026902e-003dB,-3.01955377409591e+000°)
1.73780082874937e+001	(-6.31710118936603e-003dB,-3.08985453423347e+000°)
1.77827941003892e+001	(-6.61461054478160e-003dB,-3.16179039645609e+000°)
1.81970085860998e+001	(-6.92612951850343e-003dB,-3.23539927777390e+000°)
1.86208713666286e+001	(-7.25231831408195e-003dB,-3.31071996348611e+000°)
1.90546071796324e+001	(-7.59386808348865e-003dB,-3.38779212967606e+000°)
1.94984459975804e+001	(-7.95149904768353e-003dB,-3.46665637548812e+000°)
1.99526231496887e+001	(-8.32596838561175e-003dB,-3.54735419947903e+000°)
2.04173794466952e+001	(-8.71806957991867e-003dB,-3.62992806686628e+000°)
2.08929613085403e+001	(-9.12863069940011e-003dB,-3.71442143661575e+000°)
2.13796208950222e+001	(-9.55851983547563e-003dB,-3.80087871842152e+000°)
2.18776162394954e+001	(-1.00086454721733e-002dB,-3.88934537207836e+000°)
2.23872113856833e+001	(-1.04799610319470e-002dB,-3.97986787551320e+000°)
2.29086765276776e+001	(-1.09734618070615e-002dB,-4.07249378043373e+000°)
2.34422881531991e+001	(-1.14901898242197e-002dB,-4.16727170861989e+000°)
2.39883291901948e+001	(-1.20312375854486e-002dB,-4.26425139213442e+000°)
2.45470891568502e+001	(-1.25977483150040e-002dB,-4.36348370269382e+000°)
2.51188643150957e+001	(-1.31909178734321e-002dB,-4.46502064246718e+000°)
2.57039578276885e+001	(-1.38120000739847e-002dB,-4.56891543138350e+000°)
2.63026799189537e+001	(-1.44623047269040e-002dB,-4.67522246111176e+000°)
2.69153480392690e+001	(-1.51432052197877e-002dB,-4.78399736226027e+000°)
2.75422870333815e+001	(-1.58561382156467e-002dB,-4.89529703183058e+000°)
2.81838293126444e+001	(-1.66026084034820e-002dB,-5.00917962772045e+000°)
2.88403150312659e+001	(-1.73841895739820e-002dB,-5.12570466314011e+000°)
2.95120922666637e+001	(-1.82025305708996e-002dB,-5.24493291742360e+000°)
3.01995172040200e+001	(-1.90593559741917e-002dB,-5.36692660027269e+000°)
3.09029543251358e+001	(-1.99564717705195e-002dB,-5.49174927903156e+000°)
3.16227766016837e+001	(-2.08957680149482e-002dB,-5.61946595356373e+000°)
3.23593656929627e+001	(-2.18792231093779e-002dB,-5.75014307358356e+000°)
3.31131121482590e+001	(-2.29089078708187e-002dB,-5.88384855449422e+000°)
3.38844156139201e+001	(-2.39869889970590e-002dB,-6.02065185207897e+000°)
3.46736850452530e+001	(-2.51157353565311e-002dB,-6.16062392376337e+000°)
3.54813389233574e+001	(-2.62975209936477e-002dB,-6.30383731782233e+000°)
3.63078054770100e+001	(-2.75348296174772e-002dB,-6.45036618882989e+000°)
3.71535229097171e+001	(-2.88302625318461e-002dB,-6.60028629148053e+000°)
3.80189396320559e+001	(-3.01865401161973e-002dB,-6.75367507361913e+000°)
3.89045144994279e+001	(-3.16065101692405e-002dB,-6.91061166809794e+000°)
3.98107170553495e+001	(-3.30931527526489e-002dB,-7.07117691735939e+000°)
4.07380277804111e+001	(-3.46495859930616e-002dB,-7.23545344446298e+000°)
4.16869383470333e+001	(-3.62790727867140e-002dB,-7.40352564436730e+000°)
4.26579518801591e+001	(-3.79850276918169e-002dB,-7.57547973679191e+000°)
4.36515832240164e+001	(-3.97710225671815e-002dB,-7.75140379533469e+000°)
4.46683592150961e+001	(-4.16407954750490e-002dB,-7.93138777895611e+000°)
4.57088189614873e+001	(-4.35982569350287e-002dB,-8.11552357115752e+000°)
4.67735141287196e+001	(-4.56474978442705e-002dB,-8.30390499196915e+000°)
4.78630092322636e+001	(-4.77927987881534e-002dB,-8.49662785068106e+000°)
4.89778819368444e+001	(-5.00386369923288e-002dB,-8.69378997009298e+000°)
5.01187233627270e+001	(-5.23896963598205e-002dB,-8.89549121657151e+000°)
5.12861383991362e+001	(-5.48508760268099e-002dB,-9.10183353194240e+000°)
5.24807460249770e+001	(-5.74273004328504e-002dB,-9.31292097398503e+000°)
5.37031796370250e+001	(-6.01243292438546e-002dB,-9.52885973201835e+000°)
5.49540873857622e+001	(-6.29475679877559e-002dB,-9.74975815965984e+000°)
5.62341325190346e+001	(-6.59028790467838e-002dB,-9.97572680963358e+000°)
5.75439937337154e+001	(-6.89963924689568e-002dB,-1.02068784670849e+001°)
5.88843655355586e+001	(-7.22345187996118e-002dB,-1.04433281588384e+001°)
6.02559586074355e+001	(-7.56239598606428e-002dB,-1.06851932060795e+001°)
6.16595001861479e+001	(-7.91717239958925e-002dB,-1.09325932195274e+001°)
6.30957344480190e+001	(-8.28851369492337e-002dB,-1.11856501500285e+001°)
6.45654229034652e+001	(-8.67718572400626e-002dB,-1.14444882965811e+001°)
6.60693448007593e+001	(-9.08398903288763e-002dB,-1.17092343270046e+001°)
6.76082975391978e+001	(-9.50976032425611e-002dB,-1.19800173088610e+001°)
6.91830970918933e+001	(-9.95537408981176e-002dB,-1.22569687134905e+001°)
7.07945784384134e+001	(-1.04217441355895e-001dB,-1.25402224381962e+001°)
7.24435960074986e+001	(-1.09098253517596e-001dB,-1.28299148229935e+001°)
7.41310241300914e+001	(-1.14206154121176e-001dB,-1.31261846495370e+001°)
7.58577575029180e+001	(-1.19551566031084e-001dB,-1.34291731534419e+001°)
7.76247116628688e+001	(-1.25145376705727e-001dB,-1.37390240336461e+001°)
7.94328234724277e+001	(-1.30998957941161e-001dB,-1.40558834499495e+001°)
8.12830516164095e+001	(-1.37124185901141e-001dB,-1.43799000209820e+001°)
8.31763771102667e+001	(-1.43533461698306e-001dB,-1.47112248159025e+001°)
8.51138038202372e+001	(-1.50239733697931e-001dB,-1.50500113382010e+001°)
8.70963589956076e+001	(-1.57256518721158e-001dB,-1.53964155229632e+001°)
8.91250938133741e+001	(-1.64597925649176e-001dB,-1.57505957105147e+001°)
9.12010839355905e+001	(-1.72278679463045e-001dB,-1.61127126129956e+001°)
9.33254300796986e+001	(-1.80314144858823e-001dB,-1.64829292957834e+001°)
9.54992586021431e+001	(-1.88720352101873e-001dB,-1.68614111307764e+001°)
9.77237220955805e+001	(-1.97514022712149e-001dB,-1.72483257573002e+001°)
9.99999999999995e+001	(-2.06712596727917e-001dB,-1.76438430233966e+001°)
1.02329299228075e+002	(-2.16334259096037e-001dB,-1.80481349330869e+001°)
1.04712854805089e+002	(-2.26397968726771e-001dB,-1.84613755803395e+001°)
1.07151930523760e+002	(-2.36923486942213e-001dB,-1.88837410674302e+001°)
1.09647819614318e+002	(-2.47931407513589e-001dB,-1.93154094229450e+001°)
1.12201845430196e+002	(-2.59443186099168e-001dB,-1.97565605071368e+001°)
1.14815362149688e+002	(-2.71481171813298e-001dB,-2.02073759074564e+001°)
1.17489755493952e+002	(-2.84068638514691e-001dB,-2.06680388234812e+001°)
1.20226443461741e+002	(-2.97229816699538e-001dB,-2.11387339300668e+001°)
1.23026877081237e+002	(-3.10989926584614e-001dB,-2.16196472463449e+001°)
1.25892541179416e+002	(-3.25375210153788e-001dB,-2.21109659896004e+001°)
1.28824955169313e+002	(-3.40412965788834e-001dB,-2.26128783882353e+001°)
1.31825673855640e+002	(-3.56131581481162e-001dB,-2.31255735132496e+001°)
1.34896288259165e+002	(-3.72560568694185e-001dB,-2.36492410849813e+001°)
1.38038426460288e+002	(-3.89730596909190e-001dB,-2.41840712496985e+001°)
1.41253754462275e+002	(-4.07673527947100e-001dB,-2.47302543592411e+001°)
1.44543977074592e+002	(-4.26422449896560e-001dB,-2.52879807230477e+001°)
1.47910838816820e+002	(-4.46011711389912e-001dB,-2.58574403395547e+001°)
1.51356124843620e+002	(-4.66476955300247e-001dB,-2.64388226182812e+001°)
1.54881661891247e+002	(-4.87855152375202e-001dB,-2.70323160711116e+001°)
